created_at,full_text,username,cleaned_text,translate_text,lower_text,normalize_text,stopwords_text,tokenisasi_text
Fri Oct 25 07:00:05 +0000 2024,BREAKING: Indonesia has officially started the process to join BRICS as a member. https://t.co/vPNnFAFwrP,GlobeEyeNews,BREAKING Indonesia has officially started the process to join BRICS as a member httpstcovPNnFAFwrP,BREAKING Indonesia resmi memulai proses untuk bergabung dengan BRICS sebagai anggota httpstcovPNnFAFwrP,breaking indonesia resmi memulai proses untuk bergabung dengan brics sebagai anggota httpstcovpnnfafwrp,breaking indonesia resmi memulai proses untuk bergabung dengan brics sebagai anggota httpstcovpnnfafwrp,breaking indonesia resmi memulai proses bergabung brics anggota httpstcovpnnfafwrp,"['breaking', 'indonesia', 'resmi', 'memulai', 'proses', 'bergabung', 'brics', 'anggota', 'httpstcovpnnfafwrp']"
Thu Jul 25 16:26:18 +0000 2024,JUST IN: 🇮🇩 🇷🇺 Indonesia to purchase Russian oil despite Western sanctions. https://t.co/pxXn5GaWkK,BRICSinfo,JUST IN   Indonesia to purchase Russian oil despite Western sanctions httpstcopxXn5GaWkK,BARU SAJA Indonesia akan membeli minyak Rusia meskipun ada sanksi Barat httpstcopxXn5GaWkK,baru saja indonesia akan membeli minyak rusia meskipun ada sanksi barat httpstcopxxn5gawkk,baru saja indonesia akan membeli minyak rusia meskipun ada sanksi barat httpstcopxxn5gawkk,baru indonesia membeli minyak rusia meskipun sanksi barat httpstcopxxn5gawkk,"['baru', 'indonesia', 'membeli', 'minyak', 'rusia', 'meskipun', 'sanksi', 'barat', 'httpstcopxxn5gawkk']"
Tue Oct 29 14:20:00 +0000 2024,🇨🇳An international real estate company based in Kuala Lumpur reports that Chinese money is shifting away from G7 countries and returning eastward flowing into countries such as Indonesia Vietnam Malaysia and Singapore 🇮🇩🇻🇳🇲🇾🇸🇬 https://t.co/yssbvZTxtb,BRICSGlobe,An international real estate company based in Kuala Lumpur reports that Chinese money is shifting away from G7 countries and returning eastward flowing into countries such as Indonesia Vietnam Malaysia and Singapore  httpstcoyssbvZTxtb,"Sebuah perusahaan real estate internasional yang berkantor pusat di Kuala Lumpur melaporkan bahwa uang Tiongkok bergeser dari negara-negara G7 dan kembali ke timur yang mengalir ke negara-negara seperti Indonesia, Vietnam, Malaysia, dan Singapura httpstcoyssbvZTxtb","sebuah perusahaan real estate internasional yang berkantor pusat di kuala lumpur melaporkan bahwa uang tiongkok bergeser dari negara-negara g7 dan kembali ke timur yang mengalir ke negara-negara seperti indonesia, vietnam, malaysia, dan singapura httpstcoyssbvztxtb","sebuah perusahaan real estate internasional yang berkantor pusat di kuala lumpur melaporkan bahwa uang tiongkok bergeser dari negara-negara g7 dan kembali ke timur yang mengalir ke negara-negara seperti indonesia, vietnam, malaysia, dan singapura httpstcoyssbvztxtb","sebuah perusahaan real estate internasional berkantor pusat kuala lumpur melaporkan uang tiongkok bergeser negara-negara g7 kembali timur mengalir negara-negara indonesia, vietnam, malaysia, singapura httpstcoyssbvztxtb","['sebuah', 'perusahaan', 'real', 'estate', 'internasional', 'berkantor', 'pusat', 'kuala', 'lumpur', 'melaporkan', 'uang', 'tiongkok', 'bergeser', 'negara', '-', 'negara', 'g7', 'kembali', 'timur', 'mengalir', 'negara', '-', 'negara', 'indonesia', ',', 'vietnam', ',', 'malaysia', ',', 'singapura', 'httpstcoyssbvztxtb']"
Thu Oct 24 11:40:54 +0000 2024,🇷🇺🇮🇩 Minister of Foreign Affairs of the Russian Federation Sergey Lavrov and Minister of Foreign Affairs of the Republic of Indonesia Sugiono on the sidelines of the #BRICS Summit in Kazan. https://t.co/MI9qAeS5Jx,RusEmbJakarta, Minister of Foreign Affairs of the Russian Federation Sergey Lavrov and Minister of Foreign Affairs of the Republic of Indonesia Sugiono on the sidelines of the  Summit in Kazan httpstcoMI9qAeS5Jx,Menteri Luar Negeri Federasi Rusia Sergey Lavrov dan Menteri Luar Negeri Republik Indonesia Sugiono di sela-sela KTT di Kazan httpstcoMI9qAeS5Jx,menteri luar negeri federasi rusia sergey lavrov dan menteri luar negeri republik indonesia sugiono di sela-sela ktt di kazan httpstcomi9qaes5jx,menteri luar negeri federasi rusia sergey lavrov dan menteri luar negeri republik indonesia sugiono di sela-sela ktt di kazan httpstcomi9qaes5jx,menteri luar negeri federasi rusia sergey lavrov menteri luar negeri republik indonesia sugiono sela-sela ktt kazan httpstcomi9qaes5jx,"['menteri', 'luar', 'negeri', 'federasi', 'rusia', 'sergey', 'lavrov', 'menteri', 'luar', 'negeri', 'republik', 'indonesia', 'sugiono', 'sela', '-', 'sela', 'ktt', 'kazan', 'httpstcomi9qaes5jx']"
Wed Oct 30 05:19:36 +0000 2024,On why Indonesia seeks BRICS membership: Asean is still important but Prabowo wants to enhance Indonesia s global standing and reshape Prabowo s image as a leader of the Global South. But joining BRICS comes with its own risk. https://t.co/cXOXTnaiEz,restyworo,On why Indonesia seeks BRICS membership Asean is still important but Prabowo wants to enhance Indonesia s global standing and reshape Prabowo s image as a leader of the Global South But joining BRICS comes with its own risk httpstcocXOXTnaiEz,"Alasan Indonesia ingin menjadi anggota BRICS Asean masih penting, tetapi Prabowo ingin meningkatkan posisi Indonesia di tingkat global dan membentuk kembali citra Prabowo sebagai pemimpin negara-negara berkembang. Namun, bergabung dengan BRICS memiliki risiko tersendiri.","alasan indonesia ingin menjadi anggota brics asean masih penting, tetapi prabowo ingin meningkatkan posisi indonesia di tingkat global dan membentuk kembali citra prabowo sebagai pemimpin negara-negara berkembang. namun, bergabung dengan brics memiliki risiko tersendiri.","alasan indonesia ingin menjadi anggota brics asean masih penting, tetapi prabowo ingin meningkatkan posisi indonesia di tingkat global dan membentuk kembali citra prabowo sebagai pemimpin negara-negara berkembang. namun, bergabung dengan brics memiliki risiko tersendiri.","alasan indonesia menjadi anggota brics asean penting, prabowo meningkatkan posisi indonesia tingkat global membentuk citra prabowo pemimpin negara-negara berkembang. namun, bergabung brics memiliki risiko tersendiri.","['alasan', 'indonesia', 'menjadi', 'anggota', 'brics', 'asean', 'penting', ',', 'prabowo', 'meningkatkan', 'posisi', 'indonesia', 'tingkat', 'global', 'membentuk', 'citra', 'prabowo', 'pemimpin', 'negara', '-', 'negara', 'berkembang', '.', 'namun', ',', 'bergabung', 'brics', 'memiliki', 'risiko', 'tersendiri', '.']"
Mon Oct 28 05:48:00 +0000 2024,Menlu Sugiono : Indonesia tertarik untuk bergabung dengan BRICS https://t.co/ES0X9xh2L3,PelatihT1dur,Menlu Sugiono  Indonesia tertarik untuk bergabung dengan BRICS httpstcoES0X9xh2L3,Menlu Sugiono  Indonesia tertarik untuk bergabung dengan BRICS httpstcoES0X9xh2L3,menlu sugiono  indonesia tertarik untuk bergabung dengan brics httpstcoes0x9xh2l3,menlu sugiono indonesia tertarik untuk bergabung dengan brics httpstcoes0x9xh2l3,menlu sugiono indonesia tertarik bergabung brics httpstcoes0x9xh2l3,"['menlu', 'sugiono', 'indonesia', 'tertarik', 'bergabung', 'brics', 'httpstcoes0x9xh2l3']"
Fri Oct 25 13:43:29 +0000 2024,Plot twist Indonesia join BRICS dan OECD,TxtdariHI,Plot twist Indonesia join BRICS dan OECD,Plot twist Indonesia join BRICS dan OECD,plot twist indonesia join brics dan oecd,plot twist indonesia join brics dan oecd,plot twist indonesia join brics oecd,"['plot', 'twist', 'indonesia', 'join', 'brics', 'oecd']"
Thu Sep 07 09:45:50 +0000 2023,Uang kertas 100 BRICS terdapat bendera Republik Indonesia. https://t.co/rU5I3Wz4gW,yo2thok,Uang kertas 100 BRICS terdapat bendera Republik Indonesia httpstcorU5I3Wz4gW,Uang kertas 100 BRICS terdapat bendera Republik Indonesia httpstcorU5I3Wz4gW,uang kertas 100 brics terdapat bendera republik indonesia httpstcoru5i3wz4gw,uang kertas 100 brics terdapat bendera republik indonesia httpstcoru5i3wz4gw,uang kertas 100 brics terdapat bendera republik indonesia httpstcoru5i3wz4gw,"['uang', 'kertas', '100', 'brics', 'terdapat', 'bendera', 'republik', 'indonesia', 'httpstcoru5i3wz4gw']"
Sat Oct 26 10:28:53 +0000 2024,Ijo2 imut Masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk &amp; moccamatchaicy. Dm or wa di https://t.co/zXlYGzLRba Fadil jahilin Miskah Indonesia masuk BRICS dan Hybe #fadhilahrzk #moccamatchaicy #Aoko #INDvNZ https://t.co/H3pymWW7Ke,sherizawamalaya,Ijo2 imut Masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy Dm or wa di httpstcozXlYGzLRba Fadil jahilin Miskah Indonesia masuk BRICS dan Hybe     httpstcoH3pymWW7Ke,Ijo2 imut Masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy Dm or wa di httpstcozXlYGzLRba Fadil jahilin Miskah Indonesia masuk BRICS dan Hybe     httpstcoH3pymWW7Ke,ijo2 imut masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy dm or wa di httpstcozxlygzlrba fadil jahilin miskah indonesia masuk brics dan hybe     httpstcoh3pymww7ke,ijo2 imut masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy dm or wa di httpstcozxlygzlrba fadil jahilin miskah indonesia masuk brics dan hybe httpstcoh3pymww7ke,ijo2 imut promo edisi gajian malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy dm or wa httpstcozxlygzlrba fadil jahilin miskah indonesia masuk brics hybe httpstcoh3pymww7ke,"['ijo2', 'imut', 'promo', 'edisi', 'gajian', 'malam', 'minggu', 'nih', 'yuu', 'gabung', 'grup', 'tele', 'private', 'fadhilahrzk', 'amp', 'moccamatchaicy', 'dm', 'or', 'wa', 'httpstcozxlygzlrba', 'fadil', 'jahilin', 'miskah', 'indonesia', 'masuk', 'brics', 'hybe', 'httpstcoh3pymww7ke']"
Fri Oct 25 08:46:41 +0000 2024,Menteri Luar Negeri RI Sugiono secara resmi menyampaikan keinginan Indonesia untuk bergabung dengan blok ekonomi BRICS. Itu disampaikan Sugiono dalam Konferensi Tingkat Tinggi (KTT) BRICS Plus di Kazan Rusia Kamis (24/10/2024) waktu setempat. Bergabungnya Indonesia ke BRICS https://t.co/zaHXYiPKH0,NarasiNewsroom,Menteri Luar Negeri RI Sugiono secara resmi menyampaikan keinginan Indonesia untuk bergabung dengan blok ekonomi BRICS Itu disampaikan Sugiono dalam Konferensi Tingkat Tinggi KTT BRICS Plus di Kazan Rusia Kamis 24102024 waktu setempat Bergabungnya Indonesia ke BRICS httpstcozaHXYiPKH0,Menteri Luar Negeri RI Sugiono secara resmi menyampaikan keinginan Indonesia untuk bergabung dengan blok ekonomi BRICS Itu disampaikan Sugiono dalam Konferensi Tingkat Tinggi KTT BRICS Plus di Kazan Rusia Kamis 24102024 waktu setempat Bergabungnya Indonesia ke BRICS httpstcozaHXYiPKH0,menteri luar negeri ri sugiono secara resmi menyampaikan keinginan indonesia untuk bergabung dengan blok ekonomi brics itu disampaikan sugiono dalam konferensi tingkat tinggi ktt brics plus di kazan rusia kamis 24102024 waktu setempat bergabungnya indonesia ke brics httpstcozahxyipkh0,menteri luar negeri ri sugiono secara resmi menyampaikan keinginan indonesia untuk bergabung dengan blok ekonomi brics itu disampaikan sugiono dalam konferensi tingkat tinggi ktt brics plus di kazan rusia kamis 24102024 waktu setempat bergabungnya indonesia ke brics httpstcozahxyipkh0,menteri luar negeri ri sugiono resmi menyampaikan keinginan indonesia bergabung blok ekonomi brics disampaikan sugiono konferensi tingkat tinggi ktt brics plus kazan rusia kamis 24102024 waktu setempat bergabungnya indonesia brics httpstcozahxyipkh0,"['menteri', 'luar', 'negeri', 'ri', 'sugiono', 'resmi', 'menyampaikan', 'keinginan', 'indonesia', 'bergabung', 'blok', 'ekonomi', 'brics', 'disampaikan', 'sugiono', 'konferensi', 'tingkat', 'tinggi', 'ktt', 'brics', 'plus', 'kazan', 'rusia', 'kamis', '24102024', 'waktu', 'setempat', 'bergabungnya', 'indonesia', 'brics', 'httpstcozahxyipkh0']"
Fri Oct 25 06:34:30 +0000 2024,Deeply honored to represent Indonesia as the Special Envoy of President @prabowo at the #BRICS Plus Summit in Kazan (24/10) and to announce Indonesia s intention to join BRICS &amp; become its member https://t.co/lLKjiPHywy,Menlu_RI,Deeply honored to represent Indonesia as the Special Envoy of President  at the  Plus Summit in Kazan 2410 and to announce Indonesia s intention to join BRICS amp become its member httpstcolLKjiPHywy,Sangat terhormat mewakili Indonesia sebagai Utusan Khusus Presiden pada KTT Plus di Kazan 2410 dan mengumumkan niat Indonesia untuk bergabung dengan BRICS dan menjadi anggotanya httpstcolLKjiPHywy,sangat terhormat mewakili indonesia sebagai utusan khusus presiden pada ktt plus di kazan 2410 dan mengumumkan niat indonesia untuk bergabung dengan brics dan menjadi anggotanya httpstcollkjiphywy,sangat terhormat mewakili indonesia sebagai utusan khusus presiden pada ktt plus di kazan 2410 dan mengumumkan niat indonesia untuk bergabung dengan brics dan menjadi anggotanya httpstcollkjiphywy,sangat terhormat mewakili indonesia utusan khusus presiden ktt plus kazan 2410 mengumumkan niat indonesia bergabung brics menjadi anggotanya httpstcollkjiphywy,"['sangat', 'terhormat', 'mewakili', 'indonesia', 'utusan', 'khusus', 'presiden', 'ktt', 'plus', 'kazan', '2410', 'mengumumkan', 'niat', 'indonesia', 'bergabung', 'brics', 'menjadi', 'anggotanya', 'httpstcollkjiphywy']"
Thu Oct 24 11:40:08 +0000 2024,Malaysia Indonesia Vietnam and Thailand become partner countries of BRICS https://t.co/x30Xxx139n https://t.co/ifRMcGXVq6,ChannelNewsAsia,Malaysia Indonesia Vietnam and Thailand become partner countries of BRICS httpstcox30Xxx139n httpstcoifRMcGXVq6,Malaysia Indonesia Vietnam dan Thailand menjadi negara mitra BRICS httpstcox30Xxx139n httpstcoifRMcGXVq6,malaysia indonesia vietnam dan thailand menjadi negara mitra brics httpstcox30xxx139n httpstcoifrmcgxvq6,malaysia indonesia vietnam dan thailand menjadi negara mitra brics httpstcox30xxx139n httpstcoifrmcgxvq6,malaysia indonesia vietnam thailand menjadi negara mitra brics httpstcox30xxx139n httpstcoifrmcgxvq6,"['malaysia', 'indonesia', 'vietnam', 'thailand', 'menjadi', 'negara', 'mitra', 'brics', 'httpstcox30xxx139n', 'httpstcoifrmcgxvq6']"
