created_at,full_text,username,cleaned_text,translate_text,lower_text,normalize_text,stopwords_text,tokenisasi_text,stemming_text,sentimen
Fri Oct 25 07:00:05 +0000 2024,BREAKING: Indonesia has officially started the process to join BRICS as a member. https://t.co/vPNnFAFwrP,GlobeEyeNews,BREAKING Indonesia has officially started the process to join BRICS as a member,BREAKING Indonesia telah resmi memulai proses untuk bergabung dengan BRICS sebagai anggota,breaking indonesia telah resmi memulai proses untuk bergabung dengan brics sebagai anggota,breaking indonesia telah resmi memulai proses untuk bergabung dengan brics sebagai anggota,breaking indonesia resmi proses bergabung brics anggota,"['breaking', 'indonesia', 'resmi', 'proses', 'bergabung', 'brics', 'anggota']",breaking indonesia resmi proses gabung brics anggota,Negatif
Thu Jul 25 16:26:18 +0000 2024,JUST IN: 🇮🇩 🇷🇺 Indonesia to purchase Russian oil despite Western sanctions. https://t.co/pxXn5GaWkK,BRICSinfo,JUST IN 🇮🇩 🇷🇺 Indonesia to purchase Russian oil despite Western sanctions,BARU SAJA ADA 🇮🇩 🇷🇺 Indonesia akan membeli minyak Rusia meskipun ada sanksi Barat,baru saja ada 🇮🇩 🇷🇺 indonesia akan membeli minyak rusia meskipun ada sanksi barat,baru saja ada 🇮🇩 🇷🇺 indonesia akan membeli minyak rusia meskipun ada sanksi barat,🇮🇩 🇷🇺 indonesia membeli minyak rusia sanksi barat,"['🇮', '🇩', '🇷', '🇺', 'indonesia', 'membeli', 'minyak', 'rusia', 'sanksi', 'barat']",indonesia beli minyak rusia sanksi barat,Positif
Tue Oct 29 14:20:00 +0000 2024,🇨🇳An international real estate company based in Kuala Lumpur reports that Chinese money is shifting away from G7 countries and returning eastward flowing into countries such as Indonesia Vietnam Malaysia and Singapore 🇮🇩🇻🇳🇲🇾🇸🇬 https://t.co/yssbvZTxtb,BRICSGlobe,🇨🇳An international real estate company based in Kuala Lumpur reports that Chinese money is shifting away from G7 countries and returning eastward flowing into countries such as Indonesia Vietnam Malaysia and Singapore 🇮🇩🇻🇳🇲🇾🇸🇬,"🇨🇳Sebuah perusahaan real estate internasional yang berkantor pusat di Kuala Lumpur melaporkan bahwa uang Tiongkok bergeser dari negara-negara G7 dan kembali ke timur mengalir ke negara-negara seperti Indonesia, Vietnam, Malaysia, dan Singapura 🇮🇩🇻🇳🇲🇾🇸🇬","🇨🇳sebuah perusahaan real estate internasional yang berkantor pusat di kuala lumpur melaporkan bahwa uang tiongkok bergeser dari negara-negara g7 dan kembali ke timur mengalir ke negara-negara seperti indonesia, vietnam, malaysia, dan singapura 🇮🇩🇻🇳🇲🇾🇸🇬","🇨🇳sebuah perusahaan real estate internasional yang berkantor pusat di kuala lumpur melaporkan bahwa uang tiongkok bergeser dari negara-negara g7 dan kembali ke timur mengalir ke negara-negara seperti indonesia, vietnam, malaysia, dan singapura 🇮🇩🇻🇳🇲🇾🇸🇬","🇨🇳sebuah perusahaan real estate internasional berkantor pusat kuala lumpur melaporkan uang tiongkok bergeser negara-negara g7 timur mengalir negara-negara indonesia, vietnam, malaysia, singapura 🇮🇩🇻🇳🇲🇾🇸🇬","['🇨', '🇳', 'sebuah', 'perusahaan', 'real', 'estate', 'internasional', 'berkantor', 'pusat', 'kuala', 'lumpur', 'melaporkan', 'uang', 'tiongkok', 'bergeser', 'negara', '-', 'negara', 'g7', 'timur', 'mengalir', 'negara', '-', 'negara', 'indonesia', ',', 'vietnam', ',', 'malaysia', ',', 'singapura', '🇮', '🇩', '🇻', '🇳', '🇲', '🇾', '🇸', '🇬']",buah usaha real estate internasional kantor pusat kuala lumpur lapor uang tiongkok geser negara - negara g7 timur alir negara - negara indonesia vietnam malaysia singapura,Negatif
Thu Oct 24 11:40:54 +0000 2024,🇷🇺🇮🇩 Minister of Foreign Affairs of the Russian Federation Sergey Lavrov and Minister of Foreign Affairs of the Republic of Indonesia Sugiono on the sidelines of the #BRICS Summit in Kazan. https://t.co/MI9qAeS5Jx,RusEmbJakarta,🇷🇺🇮🇩 Minister of Foreign Affairs of the Russian Federation Sergey Lavrov and Minister of Foreign Affairs of the Republic of Indonesia Sugiono on the sidelines of the BRICS Summit in Kazan,🇷🇺🇮🇩 Menteri Luar Negeri Federasi Rusia Sergey Lavrov dan Menteri Luar Negeri Republik Indonesia Sugiono di sela-sela KTT BRICS di Kazan,🇷🇺🇮🇩 menteri luar negeri federasi rusia sergey lavrov dan menteri luar negeri republik indonesia sugiono di sela-sela ktt brics di kazan,🇷🇺🇮🇩 menteri luar negeri federasi rusia sergey lavrov dan menteri luar negeri republik indonesia sugiono di sela-sela ktt brics di kazan,🇷🇺🇮🇩 menteri negeri federasi rusia sergey lavrov menteri negeri republik indonesia sugiono sela-sela ktt brics kazan,"['🇷', '🇺', '🇮', '🇩', 'menteri', 'negeri', 'federasi', 'rusia', 'sergey', 'lavrov', 'menteri', 'negeri', 'republik', 'indonesia', 'sugiono', 'sela', '-', 'sela', 'ktt', 'brics', 'kazan']",menteri negeri federasi rusia sergey lavrov menteri negeri republik indonesia sugiono sela - sela ktt brics kazan,Netral
Wed Oct 30 05:19:36 +0000 2024,On why Indonesia seeks BRICS membership: Asean is still important but Prabowo wants to enhance Indonesia s global standing and reshape Prabowo s image as a leader of the Global South. But joining BRICS comes with its own risk. https://t.co/cXOXTnaiEz,restyworo,On why Indonesia seeks BRICS membership Asean is still important but Prabowo wants to enhance Indonesia s global standing and reshape Prabowo s image as a leader of the Global South But joining BRICS comes with its own risk,"Alasan Indonesia ingin menjadi anggota BRICS Asean masih penting, namun Prabowo ingin meningkatkan posisi Indonesia di tingkat global dan membentuk kembali citra Prabowo sebagai pemimpin negara-negara berkembang. Namun, bergabung dengan BRICS juga memiliki risiko tersendiri.","alasan indonesia ingin menjadi anggota brics asean masih penting, namun prabowo ingin meningkatkan posisi indonesia di tingkat global dan membentuk kembali citra prabowo sebagai pemimpin negara-negara berkembang. namun, bergabung dengan brics juga memiliki risiko tersendiri.","alasan indonesia ingin menjadi anggota brics asean masih penting, namun prabowo ingin meningkatkan posisi indonesia di tingkat global dan membentuk kembali citra prabowo sebagai pemimpin negara-negara berkembang. namun, bergabung dengan brics juga memiliki risiko tersendiri.","alasan indonesia anggota brics asean penting, prabowo meningkatkan posisi indonesia tingkat global membentuk citra prabowo pemimpin negara-negara berkembang. namun, bergabung brics memiliki risiko tersendiri.","['alasan', 'indonesia', 'anggota', 'brics', 'asean', 'penting', ',', 'prabowo', 'meningkatkan', 'posisi', 'indonesia', 'tingkat', 'global', 'membentuk', 'citra', 'prabowo', 'pemimpin', 'negara', '-', 'negara', 'berkembang', '.', 'namun', ',', 'bergabung', 'brics', 'memiliki', 'risiko', 'tersendiri', '.']",alas indonesia anggota brics asean penting prabowo tingkat posisi indonesia tingkat global bentuk citra prabowo pimpin negara - negara kembang namun gabung brics milik risiko sendiri,Positif
Mon Oct 28 05:48:00 +0000 2024,Menlu Sugiono : Indonesia tertarik untuk bergabung dengan BRICS https://t.co/ES0X9xh2L3,PelatihT1dur,Menlu Sugiono Indonesia tertarik untuk bergabung dengan BRICS,Menlu Sugiono Indonesia tertarik untuk bergabung dengan BRICS,menlu sugiono indonesia tertarik untuk bergabung dengan brics,menlu sugiono indonesia tertarik untuk bergabung dengan brics,menlu sugiono indonesia tertarik bergabung brics,"['menlu', 'sugiono', 'indonesia', 'tertarik', 'bergabung', 'brics']",menlu sugiono indonesia tarik gabung brics,Negatif
Fri Oct 25 13:43:29 +0000 2024,Plot twist Indonesia join BRICS dan OECD,TxtdariHI,Plot twist Indonesia join BRICS dan OECD,Plot twist Indonesia join BRICS dan OECD,plot twist indonesia join brics dan oecd,plot twist indonesia join brics dan oecd,plot twist indonesia join brics oecd,"['plot', 'twist', 'indonesia', 'join', 'brics', 'oecd']",plot twist indonesia join brics oecd,Netral
Thu Sep 07 09:45:50 +0000 2023,Uang kertas 100 BRICS terdapat bendera Republik Indonesia. https://t.co/rU5I3Wz4gW,yo2thok,Uang kertas 100 BRICS terdapat bendera Republik Indonesia,Uang kertas 100 BRICS terdapat bendera Republik Indonesia,uang kertas 100 brics terdapat bendera republik indonesia,uang kertas 100 brics terdapat bendera republik indonesia,uang kertas 100 brics bendera republik indonesia,"['uang', 'kertas', '100', 'brics', 'bendera', 'republik', 'indonesia']",uang kertas 100 brics bendera republik indonesia,Positif
Sat Oct 26 10:28:53 +0000 2024,Ijo2 imut Masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk &amp; moccamatchaicy. Dm or wa di https://t.co/zXlYGzLRba Fadil jahilin Miskah Indonesia masuk BRICS dan Hybe #fadhilahrzk #moccamatchaicy #Aoko #INDvNZ https://t.co/H3pymWW7Ke,sherizawamalaya,Ijo2 imut Masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy Dm or wa di Fadil jahilin Miskah Indonesia masuk BRICS dan Hybe fadhilahrzk moccamatchaicy Aoko INDvNZ,Ijo2 imut Masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy Dm or wa di Fadil jahilin Miskah Indonesia masuk BRICS dan Hybe fadhilahrzk moccamatchaicy Aoko INDvNZ,ijo2 imut masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy dm or wa di fadil jahilin miskah indonesia masuk brics dan hybe fadhilahrzk moccamatchaicy aoko indvnz,ijo2 imut masih promo edisi gajian dan malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy dm or wa di fadil jahilin miskah indonesia masuk brics dan hybe fadhilahrzk moccamatchaicy aoko indvnz,ijo2 imut promo edisi gajian malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy dm or wa fadil jahilin miskah indonesia masuk brics hybe fadhilahrzk moccamatchaicy aoko indvnz,"['ijo2', 'imut', 'promo', 'edisi', 'gajian', 'malam', 'minggu', 'nih', 'yuu', 'gabung', 'grup', 'tele', 'private', 'fadhilahrzk', 'amp', 'moccamatchaicy', 'dm', 'or', 'wa', 'fadil', 'jahilin', 'miskah', 'indonesia', 'masuk', 'brics', 'hybe', 'fadhilahrzk', 'moccamatchaicy', 'aoko', 'indvnz']",ijo2 imut promo edisi gaji malam minggu nih yuu gabung grup tele private fadhilahrzk amp moccamatchaicy dm or wa fadil jahilin miskah indonesia masuk brics hybe fadhilahrzk moccamatchaicy aoko indvnz,Positif
Fri Oct 25 08:46:41 +0000 2024,Menteri Luar Negeri RI Sugiono secara resmi menyampaikan keinginan Indonesia untuk bergabung dengan blok ekonomi BRICS. Itu disampaikan Sugiono dalam Konferensi Tingkat Tinggi (KTT) BRICS Plus di Kazan Rusia Kamis (24/10/2024) waktu setempat. Bergabungnya Indonesia ke BRICS https://t.co/zaHXYiPKH0,NarasiNewsroom,Menteri Luar Negeri RI Sugiono secara resmi menyampaikan keinginan Indonesia untuk bergabung dengan blok ekonomi BRICS Itu disampaikan Sugiono dalam Konferensi Tingkat Tinggi KTT BRICS Plus di Kazan Rusia Kamis 24102024 waktu setempat Bergabungnya Indonesia ke BRICS,Menteri Luar Negeri RI Sugiono secara resmi menyampaikan keinginan Indonesia untuk bergabung dengan blok ekonomi BRICS Itu disampaikan Sugiono dalam Konferensi Tingkat Tinggi KTT BRICS Plus di Kazan Rusia Kamis 24102024 waktu setempat Bergabungnya Indonesia ke BRICS,menteri luar negeri ri sugiono secara resmi menyampaikan keinginan indonesia untuk bergabung dengan blok ekonomi brics itu disampaikan sugiono dalam konferensi tingkat tinggi ktt brics plus di kazan rusia kamis 24102024 waktu setempat bergabungnya indonesia ke brics,menteri luar negeri ri sugiono secara resmi menyampaikan keinginan indonesia untuk bergabung dengan blok ekonomi brics itu disampaikan sugiono dalam konferensi tingkat tinggi ktt brics plus di kazan rusia kamis 24102024 waktu setempat bergabungnya indonesia ke brics,menteri negeri ri sugiono resmi indonesia bergabung blok ekonomi brics sugiono konferensi tingkat ktt brics plus kazan rusia kamis 24102024 bergabungnya indonesia brics,"['menteri', 'negeri', 'ri', 'sugiono', 'resmi', 'indonesia', 'bergabung', 'blok', 'ekonomi', 'brics', 'sugiono', 'konferensi', 'tingkat', 'ktt', 'brics', 'plus', 'kazan', 'rusia', 'kamis', '24102024', 'bergabungnya', 'indonesia', 'brics']",menteri negeri ri sugiono resmi indonesia gabung blok ekonomi brics sugiono konferensi tingkat ktt brics plus kazan rusia kamis 24102024 gabung indonesia brics,Netral
Fri Oct 25 06:34:30 +0000 2024,Deeply honored to represent Indonesia as the Special Envoy of President @prabowo at the #BRICS Plus Summit in Kazan (24/10) and to announce Indonesia s intention to join BRICS &amp; become its member https://t.co/lLKjiPHywy,Menlu_RI,Deeply honored to represent Indonesia as the Special Envoy of President prabowo at the BRICS Plus Summit in Kazan 2410 and to announce Indonesia s intention to join BRICS amp become its member,Sangat terhormat mewakili Indonesia sebagai Utusan Khusus Presiden Prabowo di KTT BRICS Plus di Kazan 2410 dan mengumumkan niat Indonesia untuk bergabung dengan BRICS dan menjadi anggotanya.,sangat terhormat mewakili indonesia sebagai utusan khusus presiden prabowo di ktt brics plus di kazan 2410 dan mengumumkan niat indonesia untuk bergabung dengan brics dan menjadi anggotanya.,sangat terhormat mewakili indonesia sebagai utusan khusus presiden prabowo di ktt brics plus di kazan 2410 dan mengumumkan niat indonesia untuk bergabung dengan brics dan menjadi anggotanya.,terhormat mewakili indonesia utusan khusus presiden prabowo ktt brics plus kazan 2410 mengumumkan niat indonesia bergabung brics anggotanya.,"['terhormat', 'mewakili', 'indonesia', 'utusan', 'khusus', 'presiden', 'prabowo', 'ktt', 'brics', 'plus', 'kazan', '2410', 'mengumumkan', 'niat', 'indonesia', 'bergabung', 'brics', 'anggotanya', '.']",hormat wakil indonesia utus khusus presiden prabowo ktt brics plus kazan 2410 umum niat indonesia gabung brics anggota,Netral
Thu Oct 24 11:40:08 +0000 2024,Malaysia Indonesia Vietnam and Thailand become partner countries of BRICS https://t.co/x30Xxx139n https://t.co/ifRMcGXVq6,ChannelNewsAsia,Malaysia Indonesia Vietnam and Thailand become partner countries of BRICS,Malaysia Indonesia Vietnam dan Thailand menjadi negara mitra BRICS,malaysia indonesia vietnam dan thailand menjadi negara mitra brics,malaysia indonesia vietnam dan thailand menjadi negara mitra brics,malaysia indonesia vietnam thailand negara mitra brics,"['malaysia', 'indonesia', 'vietnam', 'thailand', 'negara', 'mitra', 'brics']",malaysia indonesia vietnam thailand negara mitra brics,Positif
